adult,id,original_language,overview,popularity,release_date,title,video,vote_average,vote_count,genres
False,1414642,en,"Damian, the CEO of the world's most powerful military-industrial group, is mistaken for a poor salesman earning only $3,000 a month. Unexpectedly, he enters into a quick contract marriage with Iris, a company’s boss. Damian accompanies Iris to her hometown for a Christmas dinner, where he faces constant belittlement from her relatives and ridicule from Iris's suitor. Damian continually turns the tables on the antagonists, proving his power and status, and ultimately finds true love with Iris.",32.288,2024-12-22,"Money, Guns and a Merry Christmas",False,10.0,2,"['Drama', 'Romance']"
False,1315905,ko,How do inmates in a correctional facility satisfy their sexual desires? A full-fledged confined-space erotic story depicting the precarious prison life of prison guards and inmates involved in sex penpals begins!,28.292,2024-06-14,Jailbreak Affair,False,10.0,1,[]
False,916728,en,"An elite trio of astronauts aboard a years-long, possibly compromised mission to Saturn's moon Titan, gears up for a highly dangerous slingshot manoeuvre that will either catapult them to Titan or into deep space.",30.805,2024-08-30,Slingshot,False,6.146,113,"['Science Fiction', 'Thriller']"
False,784651,hi,"As India faces a militant attack in Kashmir, the country’s best combat aviators join forces under a reckless yet brilliant squadron leader to form 'Air Dragons', faces mortal dangers and their inner demons.",31.222,2024-01-24,Fighter,False,6.1,129,"['Action', 'Drama']"
False,1042834,en,"A darkly comic tale of murder and survival, focusing on an eclectic group of characters who abandon civilization for the Galápagos Islands. They are all searching for the answer to that ever-pressing question that plagues us all: what is the meaning of life?",31.711,2024-09-07,Eden,False,8.1,6,"['Thriller', 'Drama']"
False,1128559,en,"Christopher Reeve portrayed the Man of Steel in four Superman films and played dozens of other roles that displayed his talent and range as an actor, before being injured in a near-fatal horse-riding accident in 1995 that left him paralyzed from the neck down. After becoming a quadriplegic, he became a charismatic leader and activist in the quest to find a cure for spinal cord injuries, as well as a passionate advocate for disability rights and care.",30.042,2024-09-21,Super/Man: The Christopher Reeve Story,False,8.3,122,['Documentary']
False,1279104,en,"Mindy adopts Angel, a high-spirited pony that—according to legend—will lead its owner to gold hidden in the nearby mountains. When Angel is kidnapped by a mad treasure hunter, Mindy and her school friends head into the hills to rescue the pony and hunt for the lost gold. But Mindy meets a mountain man that warns her the treasure is part of an ancient curse—if they remove the gold, they'll destroy the beautiful forest.",31.692,2024-05-27,The Legend of Catclaws Mountain,False,5.9,16,"['Fantasy', 'Family']"
False,844185,en,"In a time when breakfast is ruled by milk and cereal, a fierce corporate battle begins over a revolutionary new pastry.",23.441,2024-04-30,Unfrosted,False,5.283,290,"['Comedy', 'History']"
False,931642,en,"A drifting ex-soldier turns underground fighter with the help of a just-released ex-con, pitting him against corrupt cops and hired killers now gunning for him and all those he cares about.",32.163,2024-02-16,Lights Out,False,6.968,126,['Action']
False,1292359,tl,"Five years on from when Joy said goodbye to Ethan and Hong Kong to pursue her dreams in Canada. After fighting for their love to conquer the time, distance and a global shutdown that kept them apart, Joy and Ethan meet again in Canada but realize that they have also changed a lot, individually.",32.481,2024-11-13,"Hello, Love, Again",False,7.0,6,"['Romance', 'Drama']"
False,1211957,en,"An ex-CIA operative is thrown back into a dangerous world when a mysterious woman from his past resurfaces. Now exposed and targeted by a relentless killer and a rogue black ops program, he must rely on skills he thought he left behind in a high-stakes game of survival.",33.811,2024-01-05,The Painter,False,6.187,123,"['Action', 'Thriller']"
False,1308757,en,"Stranded in the open sea after a fatal accident, a young woman and her two friends are rescued by a fishing vessel's captain, unaware that the ship harbors a chilling secret.",36.106,2024-07-26,Dead Sea,False,6.5,168,"['Horror', 'Thriller']"
False,1094009,en,"Childhood best friends Nora, Ginny and Mary used to spend every summer at sleepaway camp together, and now, fifty years later, seize the opportunity to get back together for a reunion at the camp — full of food fights, river rafting and emotional revelations.",28.229,2024-05-31,Summer Camp,False,5.1,22,['Comedy']
False,1203236,en,"Just as Mike is on the heels of closing the biggest deal of his career, he's pulled away from his bachelor life in the big city to a farm in rural Ohio in order to help his recently orphaned nephews find a new home.",34.861,2024-09-05,Nutcrackers,False,5.8,114,"['Drama', 'Comedy']"
False,1154762,en,Emotions run high when three estranged sisters reunite in a cramped New York City apartment to watch over their ailing father during his final days.,28.857,2024-09-05,His Three Daughters,False,7.032,189,"['Drama', 'Comedy']"
False,1143019,fr,"When a gang of robbers provokes chaos in Paris and humiliates the police, the Minister of the Interior wants new blood at the helm of the investigation: Alia is from Marseille, fiery-tempered and unmanageable, Hugo is Parisian, valedictorian and meticulous. In short, they have every reason to hate each other. A forced alliance, for better or for worse, or maybe blossoming into something else?",29.78,2024-06-20,The Infallibles,False,6.346,91,"['Comedy', 'Action']"
False,1113583,en,"Famed Canadian-American leftist documentary filmmaker Leonard Fife was one of sixty thousand draft evaders and deserters who fled to Canada to avoid serving in Vietnam. Now in his late seventies, Fife is dying of cancer in Montreal and has agreed to a final interview in which he is determined to bare all his secrets at last, to demythologize his mythologized life.",36.396,2024-12-06,"Oh, Canada",False,6.1,29,['Drama']
False,950075,ml,"Manuel returns with his mother to their former home in a middle-class neighbourhood. Suspicious of his intentions, Priyadarshini and her friends begin gathering clues, convinced he may be hiding something sinister.",29.612,2024-11-22,Sookshmadarshini,False,7.7,12,"['Mystery', 'Thriller', 'Comedy']"
False,1244880,es,Three stories intertwine to form a vision of war in a narrative kaleidoscope that transcends space and time. The seven characters of the play will face their own internal enemies and find the only way to escape in love.,27.129,2024-06-28,Invasión,False,7.0,3,"['Science Fiction', 'Drama']"
False,934866,en,"A highly-gifted student sees an opportunity to escape her roots by helping wealthy classmates cheat on key exams, but at great risk to her future.",33.982,2024-09-12,Bad Genius,False,6.5,40,"['Drama', 'Thriller']"
False,1307178,en,"A breakdown. A kind invitation. A cabin with a bloody past. Alex and her newfound friends face a nightmarish reality as they are picked off one by one, drawn to the sinister bench below. Inspired by low-budget horror films of the 1970s.",32.218,2024-06-21,The Bench,False,0.0,0,['Horror']
False,1236419,en,"A unique cinematic experience that invites audiences on a vibrant journey through the life of cultural icon Pharrell Williams. Told through the lens of LEGO® animation, turn up the volume on your imagination and witness the evolution of one of music's most innovative minds.",31.548,2024-10-10,Piece by Piece,False,7.599,76,"['Animation', 'Music', 'Documentary']"
False,1022690,en,"When three childhood best friends pull a prank gone wrong, they invent the imaginary Ricky Stanicky to get them out of trouble. Twenty years later, the trio still uses the nonexistent Ricky as a handy alibi for their immature behavior. But when their spouses and partners get suspicious and demand to finally meet the fabled Mr. Stanicky, the guilty trio decide to hire a washed-up actor and raunchy celebrity impersonator to bring him to life.",31.437,2024-03-07,Ricky Stanicky,False,6.509,614,['Comedy']
False,1355320,ko,"When the six people are kidnapped and open their eyes, they are tied up in circular chains and cannot move. They are trapped in a structure where they cannot see each other, and try to escape, but they distrust each other because they cannot see who they are.",31.214,2024-09-10,Revenge,False,1.0,1,"['Action', 'Thriller']"
False,1376704,en,This subversive documentary unpacks the tricks brands use to keep their customers consuming — and the real impact they have on our lives and the world.,31.172,2024-11-19,Buy Now! The Shopping Conspiracy,False,6.7,70,['Documentary']
False,1201753,en,A family's vacation to a remote getaway takes an unexpected turn when they discover the island they're on is inhabited by a serial killer.,31.168,2024-12-26,Get Away,False,5.4,40,"['Horror', 'Comedy']"
False,1107054,sk,"In the 1990s post-communist Slovakia, former woods worker Miki takes his chances to start doing business at a local level and climb up the ladder to become the biggest mafia boss in the country.",31.069,2024-08-15,Miki,False,5.9,12,['Thriller']
False,927547,ml,"In Mumbai, Nurse Prabha's routine is troubled when she receives an unexpected gift from her estranged husband. Her younger roommate, Anu, tries in vain to find a spot in the city to be intimate with her boyfriend. A trip to a beach town allows them to find a space for their desires to manifest.",31.058,2024-09-21,All We Imagine as Light,False,7.0,88,['Drama']
False,1108566,en,"An expat PI is hired to investigate a suspicious death in Crete, Greece, where jealousies run deep amongst the victim's powerful family.",30.918,2024-09-25,Killer Heat,False,5.826,244,"['Crime', 'Drama', 'Romance']"
False,1340168,en,The Pelletier family sets out on an epic journey to see the beauty of the world when three of their four children are diagnosed with an incurable eye condition.,30.88,2024-10-04,Blink,False,7.594,16,['Documentary']
False,636706,en,"Six months into a solo mission, a lonely astronaut confronts the cracks in his marriage with help from a mysterious creature he discovers on his ship.",25.602,2024-02-23,Spaceman,False,6.7,835,"['Science Fiction', 'Adventure', 'Drama']"
False,821499,en,"Billionaire Charles Abernathy, on the eve of his 75th birthday, invites his four estranged children back home out of fear that tonight someone – or something – is coming to kill him. To ensure his family will help protect him from whatever’s coming, Abernathy puts each of their inheritances on the line – they’ll get nothing if he’s found dead by dawn.",22.996,2024-07-12,The Inheritance,False,6.0,54,['Horror']
False,1214118,es,"After 15 years together, Ale and Alex have an idea that might seem absurd: to organize a party to celebrate their breakup. This announcement leaves their loved ones perplexed, but they remain firm in their decision to separate. Or maybe not?",25.261,2024-08-28,The Other Way Around,False,6.6,29,"['Drama', 'Comedy']"
False,1407162,ar,"It follows the story of Azouz and Mahdi, two policemen who are completely different in personality and character. One is reckless and the other is honest and loyal to his family. Their partnership in work leads them to a series of events full of action and comedy.",29.53,2024-12-21,Sahbek Rajel,False,0.0,0,[]
False,1026819,en,"After their boat capsizes in the Mediterranean Sea, a group of refugees are rescued by rich Europeans who offer them shelter on an idyllic island. But the miracle soon becomes a nightmare when the saviors turn into ruthless manhunters.",28.007,2024-01-18,The Hunted,False,7.1,74,"['Horror', 'Thriller']"
False,1247019,th,"In a world shrouded by darkness, a relentless force seeks retribution, undeterred by boundaries or morality.",25.069,2024-10-10,Death Whisperer 2,False,8.3,6,"['Horror', 'Thriller', 'Action']"
False,758679,en,"Housewives Alice and Celine are best friends and neighbours who seem to have it all. However, when a tragic accident shatters the harmony of their lives, guilt, suspicion and paranoia begin to unravel their sisterly bond.",38.756,2024-01-11,Mothers' Instinct,False,6.906,437,"['Thriller', 'Drama']"
False,1228681,no,"Two men in heterosexual marriages whose unexpected experiences challenge their perceptions of sexuality, gender and identity.",33.452,2024-08-30,Sex,False,6.6,4,"['Drama', 'Romance']"
False,1170657,en,"When the Roberts family heads to Wisconsin for a hot air balloon festival, Stacie finds herself caught in between – too young for the adult activities and too old to play with the littles. But when Barbie and Skipper have a mishap, Stacie has the right skills to save the day!",24.07,2024-03-03,Barbie and Stacie to the Rescue,False,7.1,11,"['Animation', 'Family']"
False,1216512,en,"On a birthday trip to Mexico, 12-year-old Ronnie Anne accidentally frees a demigod trapped in a mountain and needs her family's help to set things right.",25.687,2024-03-21,The Casagrandes Movie,False,7.2,40,"['Animation', 'Comedy', 'Family']"
False,1187364,es,"Pepe is the best person in the world, until he discovers that he has a terminal illness and has months to live. To avoid suffering for his loved ones, Pepe decides to become the worst person in the world and thus keep them away from him so that they don't miss him when he dies.",34.674,2024-07-03,Mala Persona,False,5.9,22,['Comedy']
False,1171634,fr,"Michelle is enjoying a peaceful retirement in a Burgundy village, close to her longtime friend Marie-Claude. When her Parisian daughter Valérie drops off her son Lucas to spend school vacation with his grandma, Michelle, stressed out by her daughter, serves her toxic mushrooms for lunch. Valérie quickly recovers, but forbids her mother from seeing her grandson anymore. Feeling lonely and guilty, Michelle falls into a depression... until Marie-Claude's son gets out of prison.",26.664,2024-10-02,When Fall Is Coming,False,6.5,61,['Drama']
False,1186350,ml,"In Kerala, the Adat family reigns supreme in the gold trade and other influential businesses. With George Peter as the respected patriarch and Marco as the fearsome adopted son, their empire is built on power and loyalty, but their world is fraught with danger and conflict.",30.519,2024-12-20,Marco,False,7.5,12,"['Action', 'Crime', 'Thriller']"
False,1255017,es,"It follows an unconventional family who find themselves embroiled in a personality swap after little Zoe has a mystical encounter with an ancient god. As a result, each family member finds themselves in the body of another.",23.561,2024-08-22,Caras vemos,False,7.4,11,['Comedy']
False,1362961,es,"One enchanted night, during a meteor shower, young Sebastián made a heartfelt wish: for his loving nanny, Lupe, to become his mother, for her warmth and care were what he longed for, unlike his busy mother, Paola. The stars listened, and in their mysterious way, granted his wish, exchanging the roles of the two women, leading to a whimsical adventure full of unexpected laughs and heartwarming chaos.",23.635,2024-09-27,Intercambiadas,False,7.897,29,['Comedy']
False,1227816,en,"Cash is trying to live a quiet, honest life in a small Appalachian town. When a vicious crime boss forces him back into her services, he soon learns he's capable of anything -- even killing -- to protect his family and his home.",25.404,2024-02-22,Red Right Hand,False,6.8,145,"['Crime', 'Action', 'Thriller']"
False,1248795,tr,"After learning that the art thief she has been chasing is her ex-lover, an officer working for Interpol concocts a plan to catch him red-handed.",30.158,2024-03-13,Art of Love,False,6.4,133,"['Romance', 'Action', 'Drama']"
False,1029244,zh,"The story unfolds with an allegorical inspiration from the well-known fairy tale, The Little Mermaid, in which the mermaid princess falls in love with the prince it saves from drowning, with a surprising twist of the mermaid being a young boy…",40.771,2024-06-28,The Chronicles of Libidoists,False,4.3,3,['Drama']
False,1206617,en,"The Herdman kids are undeniably the worst kids in the history of the world. They lie, steal, cheat, bully and overall terrorize their small community. But this Christmas, they're taking over their local church Pageant – and they just might unwittingly teach a shocked little town the true meaning of Christmas.",27.018,2024-11-07,The Best Christmas Pageant Ever,False,6.992,65,"['Comedy', 'Drama', 'Family']"
False,1148027,en,"A mysterious woman on the run, and the resourceful fixer assigned to bring her in. Their two unique stories inextricably link, as the stakes of the pursuit rise to apocalyptic proportions.",33.67,2024-05-03,New Life,False,6.091,93,"['Horror', 'Thriller', 'Mystery', 'Science Fiction']"
False,1219529,es,"It’s year 2147, men are sterile due to a virus leaving humankind almost extinct and Tania, a biologist, is trying to inseminate herself to prevent this with the help of an AI system called VIDA. Things take a turn when Azarias, one of the last men and a traveller with a dark past, suddenly appears.",27.976,2024-08-15,Aire: Just Breathe,False,5.7,10,"['Science Fiction', 'Drama']"
False,840889,en,"Ella Blake, a stop-motion animator struggling to control her demons after the loss of her overbearing mother, embarks upon the creation of a film that becomes the battleground for her sanity. As Ella’s mind starts to fracture, the characters in her project take on a life of their own.",26.095,2024-02-22,Stopmotion,False,6.421,151,['Horror']
False,1227624,es,"Three girlfriends, neglected and mistreated by their husbands, plan to take revenge on them with the help of an experienced man in this type of job.",27.834,2024-09-06,Killer Babes,False,7.4,39,"['Comedy', 'Crime', 'Thriller']"
False,1207123,zh,"Xiaobai finally found Xu Xian, the reincarnation of Axuan, after 500 years, the two met on the Broken Bridge. Xiaobai and sister hid in the streets and alleys, started a lively life in human world with him and his brother-in-law Li Gongfu.",33.21,2024-07-30,White Snake: Afloat,False,8.0,11,"['Animation', 'Romance', 'Comedy', 'Fantasy']"
False,1148713,es,"After shrewdly seizing his chance to join a money-laundering scheme, a modest valet dives into a world of fast cash, fast cars — and an inevitable crash.",26.801,2024-01-19,The Courier,False,6.5,117,"['Thriller', 'Crime']"
False,1146972,ja,"In C.E.75, the fighting still continues. There are independence movements, and aggression by Blue Cosmos... In order to calm the situation, a global peace monitoring agency called COMPASS is established, with Lacus as its first president. As members of COMPASS, Kira and his comrades intervene into various regional battles. Then a newly established nation called Foundation proposes a joint operation against a Blue Cosmos stronghold.",33.917,2024-01-26,Mobile Suit Gundam SEED FREEDOM,False,6.7,54,"['Animation', 'Science Fiction', 'Action', 'Drama']"
False,1400224,tl,"Boy Kaldag, a man infamous for his massive manhood — a gift that drives women wild and sparks envy among men. As his legend grows, Boy Kaldag plunges into a world of lust and chaos that comes with being so well-endowed. From a difficult birth, because he gets stuck on the way out because of his enormous endowment, to what seems like a curse, which befalls all that have relations with him, he has a problematic life. He recounts his life story to a late-night naughty-podcast host.",41.869,2024-12-27,Boy Kaldag,False,0.0,0,['Drama']
False,598387,en,"After the death of his grandmother, Tom Lee discovers he is part of a long lineage of magical protectors known as the Guardians. With guidance from a mythical tiger named Hu and the other Zodiac animal warriors, Tom trains to take on an evil force that threatens humanity.",25.089,2024-04-04,The Tiger's Apprentice,False,7.0,43,"['Animation', 'Family', 'Fantasy']"
False,1167898,es,"Ro is an investment banker who likes beer, sports, and his girlfriend Elia… and he also likes Cris.",28.083,2024-11-21,Straight,False,6.0,2,['Romance']
False,714567,ru,"Rebellious schoolgirl Dana grieves for her younger sister, a once-happy kid who suddenly stepped in front of a train. Desperate to learn what happened, she explores her sister's online history, discovering a sinister social-media game.",26.84,2024-01-11,#Blue_Whale,False,6.3,77,"['Thriller', 'Horror', 'Drama']"
False,988512,en,"When Mort finds out he has less than a year to live, his fiancé Nicole leaves him and he’s forced to accept his fate. Mort joins a dating service that matches people by their death dates and meets Kate, all while being stalked by a deranged pimp.",27.151,2024-08-09,Running on Empty,False,5.8,19,"['Romance', 'Comedy']"
False,1395139,en,"In a small village in Pakistan, village elders demand that 15-year-old Mina must be handed over as payment for the crime her brother committed. The ruthless man she's forced to marry keeps her locked inside a small room, her only escape being her imagination and staring out a small window. Meanwhile, the two families cross paths in a series of twists that leaves a trail of pain, heartbreak, and blood.",18.82,2024-10-01,The Window,False,3.5,2,['Drama']
False,1302011,tl,"When a young barrio lass moves in to the city to study, she lives in a boarding house with other college students. Unknown to them, behind her shy and timid personality is a woman with insatiable hunger for sex.",29.419,2024-07-30,Init,False,5.0,4,['Drama']
False,1290938,en,"The advent of new weight loss drugs has a huge impact on everyone in South Park. When Cartman is denied access to the life-changing medicine, the kids jump into action.",25.205,2024-05-24,South Park: The End of Obesity,False,7.6,175,"['Animation', 'Comedy', 'TV Movie']"
False,993784,en,"In 1989, a misunderstood teenager has a high school crush — who just happens to be a handsome corpse! After a set of playfully horrific circumstances bring him back to life, the two embark on a murderous journey to find love, happiness…and a few missing body parts along the way.",20.424,2024-02-07,Lisa Frankenstein,False,6.3,401,"['Comedy', 'Horror', 'Romance']"
False,1221451,tl,"All eyes are on Vivamax Queen Angeli Khang as she is being shared by not one, not two, but three hot leading men. Melaine can't get enough with the two men in her life. When a new man arrives, she gives in to temptation.  Director: JEFFREY HIDALGO  Cast: ANGELI KHANG, ALBIE CASINO, SHEILA SNOW, VAN ALLEN ONG, ITAN ROSALES",35.437,2024-02-02,Salawahan,False,1.0,1,"['Drama', 'Thriller']"
False,1163194,hi,"In 2001, somewhere in rural India, two young brides get accidentally swapped on a train. In the ensuing chaos, they both encounter a host of colourful characters, resulting in hilarious and unexpected consequences.",18.335,2024-03-01,Lost Ladies,False,7.9,81,"['Comedy', 'Drama', 'Romance']"
False,1365044,no,"A young boy whose grieving family has forgotten about Christmas forms an unexpected, healing bond with a bubbly girl full of holiday spirit.",42.743,2024-11-28,The Snow Sister,False,7.4,51,"['Fantasy', 'Family', 'Adventure', 'Drama']"
False,1109255,it,"Parthenope, born in the sea near Naples in 1950, is beautiful, enigmatic, and intelligent. She is shamelessly courted by many. However, beauty comes at a cost.",39.02,2024-10-19,Parthenope,False,7.0,292,"['Romance', 'Drama']"
False,1080512,fr,"Nathan and Daniel are caught in a road accident that kills them both. As they come to grips with their deaths, Nathan confronts his past and the consequences of his actions. Now trapped in the hellish void of Pandemonium, he encounters tortured souls like Jeanne, a disturbed child; Julia, a grief-stricken mother; and Norghul, the guide of the great void. Will he find a way to escape the torment that awaits him for eternity?",25.74,2024-12-25,Pandemonium,False,7.3,3,"['Horror', 'Drama']"
False,1115395,pl,"When a girl's body is found on a beach in Poland's Tricity, a prosecutor teams up with the victim's mother on an impassioned quest for the truth.",22.887,2024-05-29,Colors of Evil: Red,False,6.756,215,"['Crime', 'Thriller', 'Mystery']"
False,1104937,es,"Remo's self-destructive behavior overshadows his talent. Abril, an upcoming jockey, is pregnant with Remo's baby and has to decide between the child or continuing to race. They both race for Sirena, a businessman who saved Remo's life in the past but now is determined to find him, dead or alive.",27.32,2024-09-26,Kill the Jockey,False,6.6,29,"['Comedy', 'Thriller']"
False,1191610,es,"A young autistic museum guide lives by a strict routine — until he falls in love with his coworker and must confront a whirlwind of new, intense emotions.",21.203,2024-06-27,Goyo,False,6.9,61,"['Drama', 'Romance', 'Comedy']"
False,914206,fr,"In the near future where emotions have become a threat, Gabrielle finally decides to purify her DNA in a machine that will immerse her in her past lives and rid her of any strong feelings. She then meets Louis and feels a powerful connection, as if she had known him forever.",27.085,2024-02-07,The Beast,False,6.3,159,"['Drama', 'Science Fiction', 'Romance']"
False,1218193,ca,"Montse, divorced and with two children who have long since ignored her, has been preparing for a family reunion at her home on the Costa Brava. Nothing, absolutely nothing, will prevent her from enjoying one last weekend with her family.",18.59,2024-06-28,A House On Fire,False,6.667,66,"['Comedy', 'Drama']"
False,1257750,ar,Two newlyweds on their honeymoon discover that they are different in almost every way — but can these opposites attract?,20.816,2024-04-29,Honeymoonish,False,6.7,75,"['Romance', 'Comedy']"
False,1231035,it,"In late 18th century Venice, in a convent school for girls, Teresa, a student with prophetic gifts, joins forces with some amazing music-makers. They create a new kind of pop, bright and bold, and challenge the ancient and rigid system.",30.642,2024-04-11,Gloria!,False,6.9,70,"['Drama', 'Music']"
False,1226301,tl,"Laura accepts the role in this play to rebel against her mother. The director pushes her to bring out her vulnerability and anger, hoping they will show these emotions on stage.",28.587,2024-02-23,Kabit,False,4.8,2,"['Drama', 'Romance']"
False,1006724,zh,Follows ghosts who want to become the spookiest of urban legends and most successful and famous stars in the underworld through their scare tactics and performances amongst the living.,29.871,2024-08-07,Dead Talents Society,False,6.9,10,"['Horror', 'Comedy', 'Thriller']"
False,627304,ml,"Barroz has been protecting D' Gama's treasure for 400 years and has been entrusted to hand over the treasure to a true descendant of D' Gama. One day, a boy comes in search of Barroz, claiming that he is a descendant of Vasco da Gama. Barroz sets on a journey to find out the boy's true ancestors and history.",24.592,2024-12-25,Barroz: Guardian of Treasures,False,1.5,2,"['Action', 'Adventure', 'Fantasy', 'Thriller']"
False,999890,en,Two college freshmen who decided to stick with their high school sweethearts have to pull a 'Turkey Dump' and break up with them over 'Drunksgiving' the one chaotic night before Thanksgiving in their hometown that puts their codependent friendship to the test.,25.902,2024-11-27,Sweethearts,False,5.7,55,"['Romance', 'Comedy']"
False,1325221,tl,"Jas learns that his boyfriend has been cheating on her. He breaks up with her because she’s boring. So to prove him wrong, and just to continue to be with him, she agrees to a fuck buddy set up with her ex.",29.558,2024-09-03,F-Buddies,False,0.0,0,['Drama']
False,1240773,ko,"In the early future, the government created a secret intelligence agency using psychics. Team 5 leader Lee-hwa is dispatched to an undercover office, not the headquarters, and is monitoring the hostile forces alone. One day, a new psychic, Seung-tae, comes to her undercover office, and she starts working undercover with him. However, the new recruit was sent by the director to monitor Lee-hwa and report her every move.",23.461,2024-01-26,Beautiful Sex Expert Investigator,False,0.0,0,['Romance']
False,1290486,en,"To save her parents' small-town nightclub, a Broadway dancer stages an all-male, Christmas-themed revue — and meets a guy with all the right moves.",41.04,2024-11-20,The Merry Gentlemen,False,5.7,199,"['Romance', 'Comedy']"
False,1091298,en,"On a small island in the Florida Everglades, a DEA agent and a local sheriff gather a team of locals to take down a giant meth-fueled alligator.",29.31,2024-09-05,Attack of the Meth Gator,False,5.426,27,"['Horror', 'Science Fiction', 'Action']"
False,1219158,ta,"An alcoholic designer struggles to save his six-year relationship while facing personal challenges and misunderstandings. As their bond is tested, he begins to confront his past and question whether love alone is enough to hold them together.",28.744,2024-02-07,Lover,False,7.2,10,"['Romance', 'Drama']"
False,1056746,en,"Sarah and Tom are in terrible financial trouble. On the brink of losing everything, they’ve managed to find a buyer for their stylish London home. When their best friends Richard and Beth come round for a final dinner, an uninvited old friend, Jessica, tags along.  After a seemingly trivial argument, Jessica hangs herself in the garden. Tom goes to call the police when Sarah realizes if the buyer finds out, the sale will collapse, meaning definite financial ruin. The only solution - to convince Richard and Beth to take Jessica’s body to her flat and make it look like she killed herself there. If they’re clever enough about it, what could possibly go wrong?",19.505,2024-04-05,The Trouble with Jessica,False,6.0,35,"['Comedy', 'Drama']"
False,1290409,en,"Mistaken for a sex addict by her devout father, Cami is sent to an isolated rehab center. But when a killer begins to hunt the teens, Cami realizes that her survival and her independence are intertwined in ways she could never imagine.",21.662,2024-05-17,Killer Body Count,False,4.9,15,"['Horror', 'Thriller']"
False,1014214,hi,The cop universe expands with newer additions while the old ones return led by Bajirao Singham. Singham Again interweaves the mythological epic Ramayana's good vs evil narrative when his wife Avni Kamath gets abducted by Danger Lanka setting Bajirao and his gang of Sangram Bhalerao and Veer Sooryavanshi along with Satya and Shakti Shetty on a mission to rescue her.,24.604,2024-11-01,Singham Again,False,4.4,17,"['Action', 'Drama', 'Thriller', 'Crime']"
False,1172604,es,"Lidia and her father, Pablo, return to the family lighthouse after her mother’s death. Pablo, aware of Lidia's fragile emotional balance, worries for a possible relapse after her suicide attempt. Lidia, annoyed by her father's lack of trust, will discover that something’s not right at the Lighthouse, and that danger awaits for them if they do not find out the truth.",19.933,2024-01-26,"Restless Waters, Shivering Lights",False,4.8,9,"['Horror', 'Thriller', 'Drama']"
False,957304,en,"Jamie, an uninhibited free spirit bemoaning yet another breakup with a girlfriend, and her demure friend Marian desperately needs to loosen up. In search of a fresh start, the two embark on an impromptu road trip to Tallahassee, but things quickly go awry when they cross paths with a group of inept criminals along the way.",24.395,2024-02-22,Drive-Away Dolls,False,5.5,400,"['Comedy', 'Crime']"
False,1265517,en,"A boy is haunted by terrifying nightmares where a monster lurks inside the closet. To his relief, his father appears in the middle of the night helping him to face his fears. But the boy will begin to question the true nature of these apparitions, having to face the truth about his father's destiny and the evil force that threatens to consume him.",18.855,2024-08-01,You Shall Not Sleep Tonight,False,6.659,22,"['Horror', 'Thriller']"
False,1024452,en,"Sweet Gordon, an affable English teacher in Brooklyn, has beaten the odds; a French Girl has fallen in love with him and he’s fallen even harder back. But their future is thrown into limbo when she interviews for an executive chef position in her hometown of Quebec City. To Gordon’s dismay her future boss also happens to be her former lover, a celebrity Chef with oceanic eyes and a hit TV show. Good luck Gordon.",33.596,2024-03-15,French Girl,False,6.515,65,"['Romance', 'Comedy']"
False,1246596,en,"Stars of ""The Walking Dead,"" Andrew Lincoln and Danai Gurira, walk down memory lane and visit iconic locations where pivotal moments between their characters, Rick and Michonne, were filmed.",29.333,2024-02-15,The Walking Dead: The Return,False,7.505,91,['Documentary']
False,1209770,tl,Janice's steamy obsession to imitate Lexi propels them to campus stardom. But dark secrets blur the lines between authenticity and seductive deception.,26.356,2024-01-05,Bedspacer,False,4.4,9,"['Thriller', 'Drama']"
False,1242526,en,"Led by Donna and Reverend W.C. Martin, 22 families from a rural Black church in the small East Texas town of Possum Trot adopt 77 of the most difficult-to-place kids in the foster system and kickstart a movement in the process.",26.969,2024-07-04,Sound of Hope: The Story of Possum Trot,False,6.5,29,['Drama']
False,472221,ml,"Indian migrant worker Najeeb Muhammad goes to Saudi Arabia to earn money. However, in a twist of fate, he finds himself living a slave-like existence, herding goats in the middle of the desert.",29.337,2024-03-28,The Goat Life,False,7.279,34,"['Drama', 'Adventure']"
False,1213742,en,"Ava, a young bank professional is devastated when her husband Dallas abandons a marriage she is determined to fight for until fate intervenes, revealing Dallas' wicked deeds that have trashed their marriage, and once upon a time sabotaged Ava's destiny to be loved by her true soulmate.",26.051,2024-07-11,Tyler Perry's Divorce in the Black,False,7.0,58,"['Drama', 'Thriller']"
False,1126934,en,A talented chef with gambling woes flees to a Latin American villa to visit an old friend who appears to be living an extraordinary life as a private chef. Envy soon turns to greed and then to something deeply unsettling for the chef when he assumes his friend's life and discovers the motives of his mysterious clients.,39.204,2024-05-31,What You Wish For,False,6.7,59,"['Thriller', 'Horror']"
False,1247458,es,"After Chilean writer María Carolina Geel murders her lover, the case captivates shy legal secretary Mercedes, sparking a connection between the two women.",25.732,2024-09-30,In Her Place,False,6.0,46,"['Drama', 'Crime', 'Thriller']"
False,1263112,id,"A young soldier returned from the battlefield with his fellow comrades. He reunited with his wife, who turned out to be a wandering spirit.",27.609,2024-08-15,Kang Mak (From Pee Mak),False,6.5,11,"['Comedy', 'Horror', 'Romance', 'War']"
